Node,TAZ12,County,Region,TAZCentroid
603,603,Sacramento,SACOG/TRPA,1
604,604,Sacramento,SACOG/TRPA,1
605,605,Sacramento,SACOG/TRPA,1
606,606,Sacramento,SACOG/TRPA,1
607,607,Sacramento,SACOG/TRPA,1
608,608,Sacramento,SACOG/TRPA,1
609,609,Sacramento,SACOG/TRPA,1
610,610,Sacramento,SACOG/TRPA,1
611,611,Sacramento,SACOG/TRPA,1
612,612,Sacramento,SACOG/TRPA,1
613,613,Sacramento,SACOG/TRPA,1
614,614,Sacramento,SACOG/TRPA,1
615,615,Sacramento,SACOG/TRPA,1
616,616,Sacramento,SACOG/TRPA,1
617,617,Sacramento,SACOG/TRPA,1
618,618,Sacramento,SACOG/TRPA,1
619,619,Sacramento,SACOG/TRPA,1
620,620,Sacramento,SACOG/TRPA,1
621,621,Sacramento,SACOG/TRPA,1
622,622,Sacramento,SACOG/TRPA,1
623,623,Sacramento,SACOG/TRPA,1
624,624,Sacramento,SACOG/TRPA,1
625,625,Sacramento,SACOG/TRPA,1
626,626,Sacramento,SACOG/TRPA,1
627,627,Sacramento,SACOG/TRPA,1
628,628,Sacramento,SACOG/TRPA,1
629,629,Sacramento,SACOG/TRPA,1
630,630,Sacramento,SACOG/TRPA,1
631,631,Sacramento,SACOG/TRPA,1
632,632,Sacramento,SACOG/TRPA,1
633,633,Sacramento,SACOG/TRPA,1
634,634,Sacramento,SACOG/TRPA,1
635,635,Sacramento,SACOG/TRPA,1
636,636,Sacramento,SACOG/TRPA,1
637,637,Sacramento,SACOG/TRPA,1
638,638,Sacramento,SACOG/TRPA,1
639,639,Sacramento,SACOG/TRPA,1
640,640,Sacramento,SACOG/TRPA,1
641,641,Sacramento,SACOG/TRPA,1
642,642,Sacramento,SACOG/TRPA,1
643,643,Sacramento,SACOG/TRPA,1
644,644,Sacramento,SACOG/TRPA,1
645,645,Sacramento,SACOG/TRPA,1
646,646,Sacramento,SACOG/TRPA,1
647,647,Sacramento,SACOG/TRPA,1
648,648,Sacramento,SACOG/TRPA,1
649,649,Sacramento,SACOG/TRPA,1
650,650,Sacramento,SACOG/TRPA,1
651,651,Sacramento,SACOG/TRPA,1
652,652,Sacramento,SACOG/TRPA,1
653,653,Sacramento,SACOG/TRPA,1
654,654,Sacramento,SACOG/TRPA,1
655,655,Sacramento,SACOG/TRPA,1
656,656,Sacramento,SACOG/TRPA,1
657,657,Sacramento,SACOG/TRPA,1
658,658,Sacramento,SACOG/TRPA,1
659,659,Sacramento,SACOG/TRPA,1
660,660,Sacramento,SACOG/TRPA,1
661,661,Sacramento,SACOG/TRPA,1
662,662,Sacramento,SACOG/TRPA,1
663,663,Sacramento,SACOG/TRPA,1
664,664,Sacramento,SACOG/TRPA,1
665,665,Sacramento,SACOG/TRPA,1
666,666,Sacramento,SACOG/TRPA,1
667,667,Sacramento,SACOG/TRPA,1
668,668,Sacramento,SACOG/TRPA,1
669,669,Sacramento,SACOG/TRPA,1
670,670,Sacramento,SACOG/TRPA,1
671,671,Sacramento,SACOG/TRPA,1
672,672,Sacramento,SACOG/TRPA,1
673,673,Sacramento,SACOG/TRPA,1
674,674,Sacramento,SACOG/TRPA,1
675,675,Sacramento,SACOG/TRPA,1
676,676,Sacramento,SACOG/TRPA,1
677,677,Sacramento,SACOG/TRPA,1
678,678,Sacramento,SACOG/TRPA,1
